2026-03-22T16:24:59.117438+00:00 | bn=68739.80(0.3879)/68739.81(2.1980) | cb=68736.15(0.0121)/68736.16(0.2062) | fv=68739.59 | disc=0.531bps | bid=68738.09 x 0.0093 | ask=68741.09 x 0.0093 | sts=active_two_sided
2026-03-22T16:24:59.373363+00:00 | bn=68739.80(0.3899)/68739.81(2.1909) | cb=68736.15(0.0121)/68736.16(0.2062) | fv=68739.59 | disc=0.531bps | bid=68738.09 x 0.0093 | ask=68741.09 x 0.0093 | sts=active_two_sided
2026-03-22T16:24:59.628230+00:00 | bn=68739.80(0.3899)/68739.81(2.1952) | cb=68736.15(0.0121)/68736.16(0.2062) | fv=68739.59 | disc=0.531bps | bid=68738.09 x 0.0093 | ask=68741.09 x 0.0093 | sts=active_two_sided
2026-03-22T16:24:59.881524+00:00 | bn=68739.80(0.2157)/68739.81(2.1952) | cb=68736.15(0.0087)/68736.16(0.4284) | fv=68739.57 | disc=0.531bps | bid=68738.07 x 0.0093 | ask=68741.07 x 0.0093 | sts=active_two_sided
2026-03-22T16:25:00.137009+00:00 | bn=68739.80(0.2137)/68739.81(2.1953) | cb=68736.15(0.0083)/68736.16(0.4643) | fv=68739.57 | disc=0.531bps | bid=68738.07 x 0.0093 | ask=68741.07 x 0.0093 | sts=active_two_sided
2026-03-22T16:25:00.391357+00:00 | bn=68739.80(0.2137)/68739.81(2.1953) | cb=68736.15(0.0083)/68736.16(0.4279) | fv=68739.57 | disc=0.531bps | bid=68738.07 x 0.0093 | ask=68741.07 x 0.0093 | sts=active_two_sided
2026-03-22T16:25:00.644568+00:00 | bn=68739.80(0.2010)/68739.81(2.4191) | cb=68736.15(0.0604)/68736.16(0.3767) | fv=68739.22 | disc=0.531bps | bid=68737.72 x 0.0093 | ask=68740.72 x 0.0093 | sts=active_two_sided
2026-03-22T16:25:00.898584+00:00 | bn=68739.80(0.2010)/68739.81(2.4191) | cb=68736.15(0.0604)/68736.16(0.3767) | fv=68739.22 | disc=0.531bps | bid=68737.72 x 0.0093 | ask=68740.72 x 0.0093 | sts=active_two_sided
2026-03-22T16:25:01.154466+00:00 | bn=68733.92(1.0015)/68733.93(3.5468) | cb=68726.71(0.0050)/68726.72(0.2208) | fv=68733.75 | disc=1.049bps | bid=68732.25 x 0.0087 | ask=68735.25 x 0.0087 | sts=active_two_sided
2026-03-22T16:25:01.407601+00:00 | bn=68732.07(0.0201)/68732.08(3.6934) | cb=68723.55(0.0065)/68723.56(0.0642) | fv=68730.66 | disc=1.240bps | bid=68729.16 x 0.0042 | ask=68732.16 x 0.0042 | sts=active_two_sided
2026-03-22T16:25:01.663602+00:00 | bn=68727.11(0.5882)/68727.12(1.6762) | cb=68723.55(0.0065)/68723.56(0.1006) | fv=68726.99 | disc=0.518bps | bid=68725.49 x 0.0094 | ask=68728.49 x 0.0094 | sts=active_two_sided
2026-03-22T16:25:01.918323+00:00 | bn=68727.11(0.9932)/68727.12(1.3317) | cb=68723.55(0.0417)/68723.56(0.0002) | fv=68727.10 | disc=0.518bps | bid=68725.60 x 0.0094 | ask=68728.60 x 0.0094 | sts=active_two_sided
2026-03-22T16:25:02.173661+00:00 | bn=68727.11(1.8488)/68727.12(0.3524) | cb=68723.55(0.1853)/68723.56(0.0302) | fv=68726.78 | disc=0.518bps | bid=68725.28 x 0.0094 | ask=68728.28 x 0.0094 | sts=active_two_sided
2026-03-22T16:25:02.428070+00:00 | bn=68727.11(1.7462)/68727.12(0.6191) | cb=68723.55(0.1853)/68723.56(0.0302) | fv=68726.86 | disc=0.518bps | bid=68725.36 x 0.0094 | ask=68728.36 x 0.0094 | sts=active_two_sided
2026-03-22T16:25:02.683596+00:00 | bn=68727.11(1.7476)/68727.12(0.6639) | cb=68723.55(0.1853)/68723.56(0.0302) | fv=68726.87 | disc=0.518bps | bid=68725.37 x 0.0094 | ask=68728.37 x 0.0094 | sts=active_two_sided
2026-03-22T16:25:02.939514+00:00 | bn=68727.11(1.7474)/68727.12(0.7800) | cb=68723.55(0.1853)/68723.56(0.0302) | fv=68726.89 | disc=0.518bps | bid=68725.39 x 0.0094 | ask=68728.39 x 0.0094 | sts=active_two_sided
2026-03-22T16:25:03.193552+00:00 | bn=68727.11(1.7480)/68727.12(0.7800) | cb=68723.55(0.1787)/68723.56(0.0302) | fv=68726.89 | disc=0.518bps | bid=68725.39 x 0.0094 | ask=68728.39 x 0.0094 | sts=active_two_sided
2026-03-22T16:25:03.449607+00:00 | bn=68727.11(1.3195)/68727.12(1.0962) | cb=68723.55(0.0764)/68723.56(0.0302) | fv=68726.92 | disc=0.518bps | bid=68725.42 x 0.0094 | ask=68728.42 x 0.0094 | sts=active_two_sided
